CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,KMeans_Cluster,Hierarchical_Cluster
12346,325,1,77183.6,1,1,5,115,1,0
12347,1,182,4310.0,5,5,5,555,0,0
12348,74,31,1797.24,2,3,4,234,0,0
12349,18,73,1757.55,4,4,4,444,0,0
12350,309,17,334.4,1,2,2,122,1,2
12352,35,85,2506.04,3,4,5,345,0,0
12353,203,4,89.0,1,1,1,111,1,2
12354,231,58,1079.4,1,4,4,144,1,2
12355,213,13,459.4,1,1,2,112,1,2
12356,22,59,2811.43,4,4,5,445,0,0
12357,32,131,6207.67,4,5,5,455,0,0
12358,1,19,1168.06,5,2,4,524,0,0
12359,57,245,6310.03,3,5,5,355,0,0
12360,51,129,2662.06,3,5,5,355,0,0
12361,286,10,189.9,1,1,1,111,1,2
12362,2,266,5226.23,5,5,5,555,0,0
12363,109,23,552.0,2,2,3,223,0,0
12364,7,85,1313.1,5,4,4,544,0,0
12365,290,22,641.38,1,2,3,123,1,2
12367,3,11,168.9,5,1,1,511,0,0
12370,50,166,3541.94,3,5,5,355,0,0
12371,44,63,1887.96,3,4,4,344,0,0
12372,71,52,1298.04,3,3,4,334,0,0
12373,310,14,364.6,1,1,2,112,1,2
12374,24,33,742.9300000000001,4,3,3,433,0,0
12375,10,17,457.5,5,2,2,522,0,0
12377,314,77,1628.12,1,4,4,144,1,2
12378,129,219,4008.62,2,5,5,255,0,0
12379,81,40,852.24,2,3,3,233,0,0
12380,21,104,2724.81,4,4,5,445,0,0
12381,4,87,1845.31,5,4,4,544,0,0
12383,184,99,1850.56,1,4,4,144,1,2
12384,28,27,585.27,4,2,3,423,0,0
12386,337,10,401.9,1,1,2,112,1,2
12388,15,100,2780.66,4,4,5,445,0,0
12390,79,32,549.84,2,3,3,233,0,0
12391,21,93,439.66,4,4,2,442,0,0
12393,71,64,1582.6,3,4,4,344,0,0
12394,63,27,1272.48,3,2,4,324,0,0
12395,18,156,3018.63,4,5,5,455,0,0
12397,35,126,2409.9,3,5,5,355,0,0
12398,45,85,1635.66,3,4,4,344,0,0
12399,118,59,1108.65,2,4,4,244,0,0
12401,302,5,84.3,1,1,1,111,1,2
12402,322,11,225.6,1,1,1,111,1,2
12403,49,5,427.7,3,1,2,312,0,0
12405,148,54,1710.39,2,3,4,234,1,2
12406,21,105,3415.3,4,4,5,445,0,0
12407,49,77,1708.12,3,4,4,344,0,0
12408,32,105,2888.55,4,4,5,445,0,0
12409,78,109,11072.67,2,4,5,245,0,0
12410,308,26,693.3299999999999,1,2,3,123,1,2
12412,74,61,1226.88,2,4,4,244,0,0
12413,66,38,758.1,3,3,3,333,0,0
12414,216,18,562.4100000000001,1,2,3,123,1,2
12415,23,714,124914.53,4,5,5,455,2,1
12417,2,192,3649.1,5,5,5,555,0,0
12418,112,34,668.58,2,3,3,233,0,0
12420,63,29,600.39,3,2,3,323,0,0
12421,15,45,807.04,4,3,3,433,0,0
12422,95,39,803.56,2,3,3,233,0,0
12423,0,125,1859.31,5,5,4,554,0,0
12424,162,30,1760.96,2,3,4,234,1,2
12425,77,36,777.2,2,3,3,233,0,0
12426,194,30,582.73,1,3,3,133,1,2
12427,21,31,825.8000000000001,4,3,3,433,0,0
12428,25,294,7956.46,4,5,5,455,0,0
12429,8,97,3750.4,5,4,5,545,0,0
12430,42,11,256.4,3,1,2,312,0,0
12431,35,234,6419.95,3,5,5,355,0,0
12432,42,108,5059.32,3,4,5,345,0,0
12433,0,420,13375.87,5,5,5,555,0,0
12434,84,50,806.14,2,3,3,233,0,0
12435,79,36,7829.889999999999,2,3,5,235,0,0
12436,99,16,509.01,2,2,3,223,0,0
12437,1,199,4951.41,5,5,5,555,0,0
12438,13,98,2906.85,4,4,5,445,0,0
12441,366,11,173.55,1,1,1,111,1,2
12442,2,12,172.06,5,1,1,511,0,0
12444,20,176,5005.46,4,5,5,455,0,0
12445,21,4,133.4,4,1,1,411,0,0
12446,57,57,1002.31,3,3,4,334,0,0
12447,242,26,476.49,1,2,2,122,1,2
12448,43,22,449.45,3,2,2,322,0,0
12449,21,191,4067.29,4,5,5,455,0,0
12450,155,8,197.88,2,1,1,211,1,2
12451,10,354,9035.52,5,5,5,555,0,0
12452,16,22,430.5700000000001,4,2,2,422,0,0
12453,133,43,707.09,2,3,3,233,0,2
12454,55,15,3528.34,3,2,5,325,0,0
12455,72,90,2466.86,2,4,5,245,0,0
12456,43,125,3181.04,3,5,5,355,0,0
12457,65,62,2363.23,3,4,5,345,0,0
12458,70,38,947.4,3,3,4,334,0,0
12461,93,35,826.88,2,3,3,233,0,0
12462,18,62,1189.59,4,4,4,444,0,0
12463,52,83,1344.78,3,4,4,344,0,0
12464,9,29,1212.05,5,2,4,524,0,0
12465,16,47,742.1899999999999,4,3,3,433,0,0
12468,187,38,729.5400000000001,1,3,3,133,1,2
12471,1,459,19788.65,5,5,5,555,0,0
12472,31,339,6572.11,4,5,5,455,0,0
12473,28,167,3928.05,4,5,5,455,0,0
12474,16,422,7324.09,4,5,5,455,0,0
12475,53,36,723.38,3,3,3,333,0,0
12476,15,233,6816.42,4,5,5,455,0,0
12477,22,300,13219.74,4,5,5,455,0,0
12478,3,36,680.99,5,3,3,533,0,0
12479,10,31,527.2,5,3,3,533,0,0
12480,27,154,3281.63,4,5,5,455,0,0
12481,22,216,5579.82,4,5,5,455,0,0
12483,16,75,2484.98,4,4,5,445,0,0
12484,32,343,4527.32,4,5,5,455,0,0
12488,9,55,1298.66,5,3,4,534,0,0
12489,335,15,334.93,1,2,2,122,1,2
12490,4,245,5417.93,5,5,5,555,0,0
12491,38,26,460.4,3,2,2,322,0,0
12492,62,20,263.21,3,2,2,322,0,0
12493,165,22,433.74,2,2,2,222,1,2
12494,15,77,1246.1,4,4,4,444,0,0
12497,81,14,1043.1,2,1,4,214,0,0
12498,20,23,403.7,4,2,2,422,0,0
12500,22,61,4257.82,4,4,5,445,0,0
12501,336,149,2169.39,1,5,5,155,1,2
12502,95,147,3723.87,2,5,5,255,0,0
12504,17,9,482.05,4,1,2,412,0,0
12506,232,23,73.5,1,2,1,121,1,2
12507,133,21,1304.81,2,2,4,224,0,2
12508,25,68,397.88,4,4,2,442,0,0
12509,283,7,176.5,1,1,1,111,1,2
12510,142,33,982.57,2,3,4,234,1,2
12512,65,31,132.18,3,3,1,331,0,0
12513,112,35,612.29,2,3,3,233,0,0
12514,266,51,1017.68,1,3,4,134,1,2
12515,352,16,383.7,1,2,2,122,1,2
12516,77,26,1312.06,2,2,4,224,0,0
12517,27,279,2481.6,4,5,5,455,0,0
12518,0,124,2056.89,5,5,5,555,0,0
12519,63,17,330.84,3,2,2,322,0,0
12520,78,152,2634.26,2,5,5,255,0,0
12521,142,38,599.68,2,3,3,233,1,2
12522,38,12,192.72,3,1,1,311,0,0
12523,18,106,1789.77,4,4,4,444,0,0
12524,8,144,4485.72,5,5,5,555,0,0
12526,0,71,1316.66,5,4,4,544,0,0
12527,81,18,348.71000000000004,2,2,2,222,0,0
12528,8,92,1933.48,5,4,4,544,0,0
12530,59,66,1662.28,3,4,4,344,0,0
12531,14,17,125.22,4,2,1,421,0,0
12532,29,16,349.83,4,2,2,422,0,0
12534,130,63,1089.18,2,4,4,244,0,2
12535,91,34,716.35,2,3,3,233,0,0
12536,42,261,12601.830000000002,3,5,5,355,0,0
12538,28,21,363.95,4,2,2,422,0,0
12539,21,273,5568.35,4,5,5,455,0,0
12540,19,478,13400.24,4,5,5,455,0,0
12541,29,52,981.18,4,3,4,434,0,0
12544,35,19,372.7,3,2,2,322,0,0
12545,74,50,1000.39,2,3,4,234,0,0
12546,46,69,1161.5,3,4,4,344,0,0
12547,197,8,207.8,1,1,1,111,1,2
12548,165,5,95.2,2,1,1,211,1,2
12550,78,57,964.83,2,3,4,234,0,0
12551,357,10,168.0,1,1,1,111,1,2
12552,38,20,437.82,3,2,2,322,0,0
12553,7,191,3692.28,5,5,5,555,0,0
12556,49,119,599.56,3,4,3,343,0,0
12557,15,33,11990.96,4,3,5,435,0,0
12558,7,11,269.96,5,1,2,512,0,0
12559,310,21,561.71,1,2,3,123,1,2
12560,4,105,2134.01,5,4,5,545,0,0
12561,302,16,238.85,1,2,1,121,1,2
12562,7,168,3781.74,5,5,5,555,0,0
12564,260,21,456.9,1,2,2,122,1,2
12565,288,9,145.92,1,1,1,111,1,2
12566,85,19,351.65,2,2,2,222,0,0
12567,22,446,9401.28,4,5,5,455,0,0
12569,1,188,4124.69,5,5,5,555,0,0
12571,39,34,519.61,3,3,3,333,0,0
12572,8,60,1020.42,5,4,4,544,0,0
12573,226,28,160.54000000000002,1,2,1,121,1,2
12574,315,11,218.45,1,1,1,111,1,2
12576,35,88,1315.83,3,4,4,344,0,0
12577,34,146,626.6,3,5,3,353,0,0
12578,20,114,2794.51,4,4,5,445,0,0
12579,77,29,440.42,2,2,2,222,0,0
12580,246,24,415.7,1,2,2,122,1,2
12581,39,15,197.71,3,2,1,321,0,0
12582,238,22,511.36,1,2,3,123,1,2
12583,2,247,7281.38,5,5,5,555,0,0
12584,3,96,2338.15,5,4,5,545,0,0
12585,233,87,2040.1,1,4,4,144,1,2
12586,16,11,196.94,4,1,1,411,0,0
12587,7,4,144.0,5,1,1,511,0,0
12588,38,10,214.9,3,1,1,311,0,0
12589,28,35,646.68,4,3,3,433,0,0
12590,210,68,9864.26,1,4,5,145,1,2
12591,316,26,452.85,1,2,2,122,1,2
12592,91,18,437.6,2,2,2,222,0,0
12593,108,21,418.1,2,2,2,222,0,0
