CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
12346,325,1,77183.6,1,1,5,115
12347,1,182,4310.0,5,5,5,555
12348,74,31,1797.24,2,3,4,234
12349,18,73,1757.55,4,4,4,444
12350,309,17,334.4,1,2,2,122
12352,35,85,2506.04,3,4,5,345
12353,203,4,89.0,1,1,1,111
12354,231,58,1079.4,1,4,4,144
12355,213,13,459.4,1,1,2,112
12356,22,59,2811.43,4,4,5,445
12357,32,131,6207.67,4,5,5,455
12358,1,19,1168.06,5,2,4,524
12359,57,245,6310.03,3,5,5,355
12360,51,129,2662.06,3,5,5,355
12361,286,10,189.9,1,1,1,111
12362,2,266,5226.23,5,5,5,555
12363,109,23,552.0,2,2,3,223
12364,7,85,1313.1,5,4,4,544
12365,290,22,641.38,1,2,3,123
12367,3,11,168.9,5,1,1,511
12370,50,166,3541.94,3,5,5,355
12371,44,63,1887.96,3,4,4,344
12372,71,52,1298.04,3,3,4,334
12373,310,14,364.6,1,1,2,112
12374,24,33,742.9300000000001,4,3,3,433
12375,10,17,457.5,5,2,2,522
12377,314,77,1628.1200000000001,1,4,4,144
12378,129,219,4008.62,2,5,5,255
12379,81,40,852.24,2,3,3,233
12380,21,104,2724.81,4,4,5,445
12381,4,87,1845.31,5,4,4,544
12383,184,99,1850.56,1,4,4,144
12384,28,27,585.27,4,2,3,423
12386,337,10,401.9,1,1,2,112
12388,15,100,2780.66,4,4,5,445
12390,79,32,549.84,2,3,3,233
12391,21,93,439.66,4,4,2,442
12393,71,64,1582.6,3,4,4,344
12394,63,27,1272.48,3,2,4,324
12395,18,156,3018.63,4,5,5,455
12397,35,126,2409.9,3,5,5,355
12398,45,85,1635.6599999999999,3,4,4,344
12399,118,59,1108.6499999999999,2,4,4,244
12401,302,5,84.3,1,1,1,111
12402,322,11,225.60000000000002,1,1,1,111
12403,49,5,427.7,3,1,2,312
12405,148,54,1710.39,2,3,4,234
12406,21,105,3415.3,4,4,5,445
12407,49,77,1708.12,3,4,4,344
12408,32,105,2888.55,4,4,5,445
12409,78,109,11072.67,2,4,5,245
12410,308,26,693.3299999999999,1,2,3,123
12412,74,61,1226.88,2,4,4,244
12413,66,38,758.1,3,3,3,333
12414,216,18,562.4100000000001,1,2,3,123
12415,23,714,124914.53,4,5,5,455
12417,2,192,3649.1,5,5,5,555
12418,112,34,668.58,2,3,3,233
12420,63,29,600.39,3,2,3,323
12421,15,45,807.04,4,3,3,433
12422,95,39,803.56,2,3,3,233
12423,0,125,1859.31,5,5,4,554
12424,162,30,1760.96,2,3,4,234
12425,77,36,777.2,2,3,3,233
12426,194,30,582.73,1,3,3,133
12427,21,31,825.8000000000001,4,3,3,433
12428,25,294,7956.46,4,5,5,455
12429,8,97,3750.4,5,4,5,545
12430,42,11,256.4,3,1,2,312
12431,35,234,6419.95,3,5,5,355
12432,42,108,5059.32,3,4,5,345
12433,0,420,13375.87,5,5,5,555
12434,84,50,806.14,2,3,3,233
12435,79,36,7829.889999999999,2,3,5,235
12436,99,16,509.01,2,2,3,223
12437,1,199,4951.41,5,5,5,555
12438,13,98,2906.85,4,4,5,445
12441,366,11,173.55,1,1,1,111
12442,2,12,172.06,5,1,1,511
12444,20,176,5005.46,4,5,5,455
12445,21,4,133.4,4,1,1,411
12446,57,57,1002.31,3,3,4,334
12447,242,26,476.49,1,2,2,122
12448,43,22,449.45,3,2,2,322
12449,21,191,4067.29,4,5,5,455
12450,155,8,197.88,2,1,1,211
12451,10,354,9035.52,5,5,5,555
12452,16,22,430.57000000000005,4,2,2,422
12453,133,43,707.09,2,3,3,233
12454,55,15,3528.34,3,2,5,325
12455,72,90,2466.86,2,4,5,245
12456,43,125,3181.04,3,5,5,355
12457,65,62,2363.23,3,4,5,345
12458,70,38,947.4,3,3,4,334
12461,93,35,826.88,2,3,3,233
12462,18,62,1189.59,4,4,4,444
12463,52,83,1344.78,3,4,4,344
12464,9,29,1212.05,5,2,4,524
12465,16,47,742.1899999999999,4,3,3,433
12468,187,38,729.5400000000001,1,3,3,133
12471,1,459,19788.649999999998,5,5,5,555
12472,31,339,6572.11,4,5,5,455
12473,28,167,3928.0499999999997,4,5,5,455
12474,16,422,7324.09,4,5,5,455
12475,53,36,723.38,3,3,3,333
12476,15,233,6816.42,4,5,5,455
12477,22,300,13219.74,4,5,5,455
12478,3,36,680.99,5,3,3,533
12479,10,31,527.2,5,3,3,533
12480,27,154,3281.63,4,5,5,455
12481,22,216,5579.82,4,5,5,455
12483,16,75,2484.98,4,4,5,445
12484,32,343,4527.32,4,5,5,455
12488,9,55,1298.66,5,3,4,534
12489,335,15,334.93,1,2,2,122
12490,4,245,5417.93,5,5,5,555
12491,38,26,460.4,3,2,2,322
12492,62,20,263.21,3,2,2,322
12493,165,22,433.74,2,2,2,222
12494,15,77,1246.1,4,4,4,444
12497,81,14,1043.1,2,1,4,214
12498,20,23,403.7,4,2,2,422
12500,22,61,4257.82,4,4,5,445
12501,336,149,2169.39,1,5,5,155
12502,95,147,3723.87,2,5,5,255
12504,17,9,482.05,4,1,2,412
12506,232,23,73.5,1,2,1,121
12507,133,21,1304.81,2,2,4,224
12508,25,68,397.88,4,4,2,442
12509,283,7,176.5,1,1,1,111
12510,142,33,982.5699999999999,2,3,4,234
12512,65,31,132.18,3,3,1,331
12513,112,35,612.29,2,3,3,233
12514,266,51,1017.68,1,3,4,134
12515,352,16,383.7,1,2,2,122
12516,77,26,1312.06,2,2,4,224
12517,27,279,2481.6,4,5,5,455
12518,0,124,2056.89,5,5,5,555
12519,63,17,330.84,3,2,2,322
12520,78,152,2634.26,2,5,5,255
12521,142,38,599.68,2,3,3,233
12522,38,12,192.72,3,1,1,311
12523,18,106,1789.77,4,4,4,444
12524,8,144,4485.72,5,5,5,555
12526,0,71,1316.66,5,4,4,544
12527,81,18,348.71000000000004,2,2,2,222
12528,8,92,1933.48,5,4,4,544
12530,59,66,1662.28,3,4,4,344
12531,14,17,125.22,4,2,1,421
12532,29,16,349.83,4,2,2,422
12534,130,63,1089.18,2,4,4,244
12535,91,34,716.35,2,3,3,233
12536,42,261,12601.830000000002,3,5,5,355
12538,28,21,363.95,4,2,2,422
12539,21,273,5568.35,4,5,5,455
12540,19,478,13400.24,4,5,5,455
12541,29,52,981.18,4,3,4,434
12544,35,19,372.7,3,2,2,322
12545,74,50,1000.39,2,3,4,234
12546,46,69,1161.5,3,4,4,344
12547,197,8,207.8,1,1,1,111
12548,165,5,95.19999999999999,2,1,1,211
12550,78,57,964.83,2,3,4,234
12551,357,10,168.0,1,1,1,111
12552,38,20,437.82,3,2,2,322
12553,7,191,3692.28,5,5,5,555
12556,49,119,599.56,3,4,3,343
12557,15,33,11990.960000000001,4,3,5,435
12558,7,11,269.96,5,1,2,512
12559,310,21,561.71,1,2,3,123
12560,4,105,2134.01,5,4,5,545
12561,302,16,238.85,1,2,1,121
12562,7,168,3781.7400000000002,5,5,5,555
12564,260,21,456.9,1,2,2,122
12565,288,9,145.92,1,1,1,111
12566,85,19,351.65,2,2,2,222
12567,22,446,9401.28,4,5,5,455
12569,1,188,4124.69,5,5,5,555
12571,39,34,519.61,3,3,3,333
12572,8,60,1020.42,5,4,4,544
12573,226,28,160.54000000000002,1,2,1,121
12574,315,11,218.45,1,1,1,111
12576,35,88,1315.83,3,4,4,344
12577,34,146,626.6,3,5,3,353
12578,20,114,2794.51,4,4,5,445
12579,77,29,440.42,2,2,2,222
12580,246,24,415.7,1,2,2,122
12581,39,15,197.71,3,2,1,321
12582,238,22,511.36,1,2,3,123
12583,2,247,7281.38,5,5,5,555
12584,3,96,2338.15,5,4,5,545
12585,233,87,2040.1,1,4,4,144
12586,16,11,196.94,4,1,1,411
12587,7,4,144.0,5,1,1,511
12588,38,10,214.89999999999998,3,1,1,311
12589,28,35,646.68,4,3,3,433
12590,210,68,9864.26,1,4,5,145
12591,316,26,452.84999999999997,1,2,2,122
12592,91,18,437.6,2,2,2,222
12593,108,21,418.1,2,2,2,222
12594,37,118,3338.2200000000003,3,4,5,345
12596,50,27,618.27,3,2,3,323
12597,18,206,3811.22,4,5,5,455
12598,9,132,3023.08,5,5,5,555
12599,28,62,1032.58,4,4,4,444
12600,28,64,2599.04,4,4,5,445
12601,189,28,577.0600000000001,1,2,3,123
12602,58,12,153.12,3,1,1,311
12603,21,2,739.1999999999999,4,1,3,413
12604,78,16,254.17999999999998,2,2,2,222
12607,59,101,1579.51,3,4,4,344
12609,77,60,1126.85,2,4,4,244
12610,22,106,2099.54,4,4,5,445
12611,51,65,1193.32,3,4,4,344
12612,73,19,704.04,2,2,3,223
12613,56,153,3344.38,3,5,5,355
12614,277,20,315.6,1,2,2,122
12615,1,105,2291.19,5,4,5,545
12616,94,32,713.3,2,3,3,233
12617,28,41,352.98,4,3,2,432
12618,21,11,177.31,4,1,1,411
12619,15,90,3641.24,4,4,5,445
12620,14,92,1339.41,4,4,4,444
12621,1,467,13689.67,5,5,5,555
12622,231,11,180.1,1,1,1,111
12623,275,18,305.1,1,2,2,122
12624,105,38,641.13,2,3,3,233
12625,211,86,2683.82,1,4,5,145
12626,22,294,6620.4800000000005,4,5,5,455
12627,10,230,4478.53,5,5,5,555
12628,3,41,786.46,5,3,3,533
12630,9,64,1270.88,5,4,4,544
12631,56,31,640.5,3,3,3,333
12633,58,101,2163.98,3,4,5,345
12635,89,101,1689.18,2,4,4,244
12637,66,382,6002.9,3,5,5,355
12638,32,39,671.69,4,3,3,433
12639,238,22,486.1,1,2,2,122
12640,23,53,1174.58,4,3,4,434
12641,114,10,185.9,2,1,1,211
12642,24,47,1013.26,4,3,4,434
12643,127,24,3344.64,2,2,5,225
12644,129,31,477.90999999999997,2,3,2,232
12645,33,73,1775.18,3,4,4,344
12646,4,45,1346.97,5,3,4,534
12647,21,121,3722.82,4,5,5,455
12648,154,21,318.05,2,2,2,222
12649,106,31,623.51,2,3,3,233
12650,2,20,314.44,5,2,2,522
12651,334,9,114.0,1,1,1,111
12652,330,48,919.98,1,3,3,133
12653,148,43,2209.85,2,3,5,235
12654,10,38,601.98,5,3,3,533
12656,16,126,4051.17,4,5,5,455
12657,10,47,1643.18,5,3,4,534
12658,18,36,686.05,4,3,3,433
12659,29,5,91.68,4,1,1,411
12660,10,13,245.1,5,1,1,511
12662,0,230,3849.78,5,5,5,555
12664,7,37,4881.88,5,3,5,535
12665,324,3,63.0,1,1,1,111
12667,57,33,620.13,3,3,3,333
12668,11,161,3807.15,5,5,5,555
12669,150,101,2744.0299999999997,2,4,5,245
12670,9,92,2996.05,5,4,5,545
12672,329,10,225.9,1,1,1,111
12673,4,42,610.52,5,3,3,533
12674,38,83,1970.6,3,4,4,344
12676,24,45,1331.39,4,3,4,434
12678,41,165,17628.46,3,5,5,355
12679,58,48,1113.02,3,3,4,334
12680,0,52,862.81,5,3,3,533
12681,14,638,13787.54,4,5,5,455
12682,3,524,12279.82,5,5,5,555
12683,3,344,8476.57,5,5,5,555
12684,7,105,2283.63,5,4,5,545
12685,27,157,2863.08,4,5,5,455
12686,371,7,89.14,1,1,1,111
12688,113,171,4873.81,2,5,5,255
12689,25,72,1247.61,4,4,4,444
12690,205,16,389.01,1,2,2,122
12691,27,32,1035.8,4,3,4,434
12693,126,39,855.91,2,3,3,233
12694,69,37,869.67,3,3,3,333
12695,6,27,582.1,5,2,3,523
12697,28,41,957.59,4,3,4,434
12700,7,268,4939.99,5,5,5,555
12701,79,53,797.71,2,3,3,233
12702,19,12,219.0,4,1,1,411
12703,70,21,283.55,3,2,2,322
12704,6,88,2340.84,5,4,5,545
12705,14,334,6868.29,4,5,5,455
12707,291,33,603.42,1,3,3,133
12708,29,157,2712.91,4,5,5,455
12709,14,207,9706.52,4,5,5,455
12710,96,77,1149.02,2,4,4,244
12712,28,133,4396.13,4,5,5,455
12713,0,38,848.55,5,3,3,533
12714,8,259,4708.86,5,5,5,555
12715,105,20,343.36,2,2,2,222
12716,3,69,1053.49,5,4,4,544
12717,150,55,1030.98,2,3,4,234
12718,70,19,238.25,3,2,1,321
12719,4,39,644.95,5,3,3,533
12720,2,354,5781.73,5,5,5,555
12721,31,161,2656.13,4,5,5,455
12722,84,53,997.63,2,3,4,234
12723,3,69,725.0699999999999,5,4,3,543
12724,4,53,1031.41,5,3,4,534
12725,370,24,427.8,1,2,2,122
12726,27,124,2609.1,4,5,5,455
12727,10,139,3980.7,5,5,5,555
12728,70,46,836.3299999999999,3,3,3,333
12729,113,26,453.01,2,2,2,222
12731,23,274,18895.91,4,5,5,455
12732,179,12,236.26,1,1,1,111
12733,233,22,383.95,1,2,2,122
12734,352,4,110.39999999999999,1,1,1,111
12735,314,43,779.5699999999999,1,3,3,133
12736,332,4,234.0,1,1,1,111
12738,371,11,155.35,1,1,1,111
12739,77,38,1013.04,2,3,4,234
12740,63,27,427.6,3,2,2,322
12743,133,131,540.13,2,5,3,253
12744,51,222,21279.29,3,5,5,355
12747,1,103,4196.01,5,4,5,545
12748,0,4412,33053.19,5,5,5,555
12749,3,199,4090.88,5,5,5,555
12750,128,15,275.88,2,2,2,222
12752,80,53,4366.78,2,3,5,235
12753,22,197,21429.39,4,5,5,455
12754,235,63,3010.7400000000002,1,4,5,145
12755,280,4,3811.9500000000003,1,1,5,115
12756,86,4,112.08,2,1,1,211
12757,15,364,7834.650000000001,4,5,5,455
12758,116,97,2791.59,2,4,5,245
12759,51,95,1531.44,3,4,4,344
12762,7,69,1898.52,5,4,4,544
12763,137,18,494.08,2,2,3,223
12764,316,45,1693.88,1,3,4,134
12766,3,310,6989.63,5,5,5,555
12769,238,32,1143.6,1,3,4,134
12770,210,12,1351.45,1,1,4,114
12772,59,55,892.47,3,3,3,333
12775,16,66,1386.04,4,4,4,444
12778,19,50,822.23,4,3,3,433
12779,37,149,3981.36,3,5,5,355
12781,63,25,826.74,3,2,3,323
12782,4,103,2330.92,5,4,5,545
12783,1,84,2225.91,5,4,5,545
12784,8,57,532.8199999999999,5,3,3,533
12785,363,14,311.95,1,1,2,112
12787,9,20,463.66,5,2,2,522
12789,64,4,91.85,3,1,1,311
12790,191,21,324.91999999999996,1,2,2,122
12791,373,2,192.6,1,1,1,111
12792,256,25,400.53999999999996,1,2,2,122
12793,334,24,545.48,1,2,3,123
12794,52,45,860.41,3,3,3,333
12795,18,14,430.48,4,1,2,412
12797,365,13,254.03,1,1,2,112
12798,9,8,6977.04,5,1,5,515
12802,186,25,427.58000000000004,1,2,2,122
12808,36,28,483.65000000000003,3,2,2,322
12809,177,25,489.31,2,2,3,223
12811,260,31,514.85,1,3,3,133
12812,44,15,229.64,3,2,1,321
12814,101,2,125.92,2,1,1,211
12815,147,47,1063.46,2,3,4,234
12816,95,29,572.2,2,2,3,223
12817,280,4,166.04,1,1,1,111
12818,261,14,1542.08,1,1,4,114
12820,2,59,942.34,5,4,4,544
12821,213,6,92.72,1,1,1,111
12822,70,46,948.88,3,3,4,334
12823,74,5,1759.5,2,1,4,214
12824,59,25,397.12,3,2,2,322
12826,2,91,1474.72,5,4,4,544
12827,5,25,430.15,5,2,2,522
12828,2,56,1018.7099999999999,5,3,4,534
